source,route,duration,distance,cost,dur/dist,cost/dist,cost/dur,class_1,class_2,,
NB,Rank5_Class1,107.638,526,137.099,0.204634981,0.260644487,1.273704454,Shared bikeway on road,Residential,,country side = rural lands
NS,NoRank_Class2,146.009,684,193.052,0.21346345,0.282239766,1.322192468,Pedestrian Walkway,Trail,,forest * = forested
NS,Rank5_ClassN,95.763,463,244.012,0.206831533,0.527023758,2.548082245,Shared bikeway on road,Suburban,,suburban = larger roads connecting neighbourhoods
NS,Rank4_Class1,235.624,1167,249.762,0.201905741,0.214020566,1.060002377,Bridge,,,residential = smaller streets within neighbourhoods (city blocks)
NB,Rank5_Class2,217.702,1062,293.689,0.204992467,0.276543315,1.34904135,Pedestrian Walkway,Residential,,arterial = large sometimes multi-laned routes connecting suburbs
NS,Rank4_ClassN,94.2,456,308.859,0.206578947,0.677322368,3.278757962,Road,Suburban,,
NL,Rank5_Class3,268.55,1306,423.683,0.205627871,0.324412711,1.577668963,Road,Residential,,
NB,Rank5_NoClass,220.15,1094,424.094,0.201234004,0.387654479,1.926386555,Road,Residential,,
PE,Rank5_Class3,313.522,1530,435.837,0.20491634,0.284860784,1.390132112,Road,Residential,,
NL,Rank4_Class1,400.845,1950,460.568,0.205561538,0.236188718,1.148992753,Road,Suburban,,
NS,Rank5_Class3,244.925,1197,478.974,0.204615706,0.400145363,1.95559457,Road,Arterial,,
NS,Rank4_Class3,235.134,1095,550.989,0.214734247,0.503186301,2.343297864,Road,Suburban,,
NB,Rank5_ClassN,243.375,1155,587.336,0.210714286,0.508516017,2.413296353,Shared bikeway on road,Suburban,,
NB,Rank4_Class2,293.256,1399,673.886,0.209618299,0.481691208,2.297944458,Shared bikeway on road,Residential,,
NB,Rank5_Class3,434.416,2159,713.92,0.201211672,0.330671607,1.643401716,Shared bikeway on road,Residential,,
PE,Rank4_Class3,409.766,1864,759.831,0.219831545,0.407634657,1.854304652,Road,Suburban,,
NB,Rank4_Class1,250.68,1249,785.536,0.200704564,0.628931946,3.133620552,Road,Rural,Freeway,
NS,Rank5_NoClass,321.56,1564,787.991,0.205601023,0.503830563,2.450525563,Road,Suburban,,
PE,Rank5_Class2,532.89,2131,907.674,0.250065697,0.425938057,1.703304622,Road,Residential,,
PE,Rank5_Class1,474.566,2000,931.16,0.237283,0.46558,1.962129609,Road,Suburban,,
NL,NoRank_Class2,522.796,2175,943.661,0.240365977,0.433867126,1.8050272,Road,Residential,,
NS,Rank4_Class2,600.959,2806,990.379,0.21416928,0.352950463,1.647997617,Pedestrian Walkway,,,
PE,Rank5_ClassN,446.482,2217,1143.682,0.201390167,0.515869193,2.561541115,Road,Suburban,Single land along shoreline,
PE,Rank4_Class2,472.021,2306,1444.158,0.204692541,0.626261058,3.059520657,Road,Rural,,
NS,Rank5_Class2,529.122,2591,1827.189,0.204215361,0.705206098,3.453247077,Road/path,Back loops on main road,,
NB,Rank4_Class3,851.727,4254,1897.913,0.200217913,0.446147861,2.228311419,Road,Residential,,
PE,NoRank_Class2,681.492,3149,1913.413,0.21641537,0.607625595,2.807682262,Road,Suburban,,
NS,Rank4_NoClass,648.549,3227,2062.375,0.200975829,0.639099783,3.179983317,Freeway,Forested,,
PE,Rank4_NoClass,756.417,3721,2170.764,0.203283257,0.583381887,2.869798008,Road,Rural,,
NL,NoRank_Class1,2067.421,8029,2565.484,0.257494208,0.319527214,1.240910294,Road,Rural,,
NS,NoRank_ClassN,1584.197,3075,2783.602,0.515186016,0.905236423,1.757105966,Unpaved path,Forested,,
NL,Rank4_ClassN,858.602,4272,3191.89,0.200983614,0.747165262,3.717543169,Road,Suburban,,
PE,Rank5_NoClass,1447.66,7216,3714.658,0.200618071,0.514780765,2.565974055,Road,Rural,,
NS,Rank5_Class1,2146.328,10060,4043.148,0.213352684,0.40190338,1.883751225,Road,Suburban,pedestrian and shared bikeway,
PE,NoRank_Class1,1521.991,7183,4678.173,0.21188793,0.651284004,3.073719227,Road,Suburban,,
NL,Rank4_NoClass,1455.836,7270,5035.308,0.200252545,0.69261458,3.458705514,Road,Arterial,,
NL,Rank5_NoClass,2012.355,4660,5077.314,0.431835837,1.089552361,2.523070731,Road,Suburban,,
PE,NoRank_ClassN,3201.549,6210,5285.933,0.515547343,0.85119694,1.651054849,Unpaved path,Forested,,
NB,Rank4_NoClass,1484.666,7421,6093.945,0.200062795,0.821175718,4.104589854,Road,Rural,Freeway,
NB,Rank4_ClassN,1760.964,8615,6821.162,0.204406732,0.791777365,3.873538585,Road,Rural,Freeway,
NL,NoRank_ClassN,3879.051,7542,7176.246,0.514326571,0.951504375,1.850000425,Road,Rural,,
NL,Rank5_ClassN,7992.854,15529,19900.39,0.514705004,1.281498487,2.489772739,Road,Arterial/Rural,,